Castanhal;n_da_castanheira;CAP;n_frutos_ouricos_produzidos;n_frutos_ouricos_acessados_pela_fauna;UC;Ano
Zirmão 2;882;3.18;385;8;Cazumba;2020
Irmãos Gamas;568;;45;6;Cazumba;2020
Irmãos Gamas;569;;736;4;Cazumba;2020
Irmãos Gamas;571;;32;8;Cazumba;2020
Irmãos Gamas;573;;140;2;Cazumba;2020
Irmãos Gamas;575;;217;4;Cazumba;2020
Irmãos Gamas;581;;413;2;Cazumba;2020
Irmãos Gamas;582;;100;0;Cazumba;2020
Irmãos Gamas;587;;376;5;Cazumba;2020
Dimar;590;;692;4;Cazumba;2020
Dimar;595;;673;3;Cazumba;2020
Dimar;598;;109;;Cazumba;2020
Marizan;600;;223;1;Cazumba;2020
Marizan;601;;345;4;Cazumba;2020
Marizan;603;;300;0;Cazumba;2020
Marizan;606;;137;0;Cazumba;2020
Marizan;609;;14;15;Cazumba;2020
Zirmão;415;;129;11;Cazumba;2021
Zirmão;423;;167;3;Cazumba;2021
Zirmão;432;;321;0;Cazumba;2021
Zirmão;436;;272;3;Cazumba;2021
Zirmão;438;;4;1;Cazumba;2021
Zirmão;437;;216;12;Cazumba;2021
Zirmão;447;;393;0;Cazumba;2021
Zirmão;450;;413;0;Cazumba;2021
Zirmão;453;;341;0;Cazumba;2021
Zirmão;460;;192;2;Cazumba;2021
Zirmão;461;;304;1;Cazumba;2021
Zirmão;467;;293;11;Cazumba;2021
Zirmão;475;;138;3;Cazumba;2021
Zirmão;476;;135;13;Cazumba;2021
Zirmão;478;;130;6;Cazumba;2021
Zirmão;481;;396;7;Cazumba;2021
Zirmão;497;;15;0;Cazumba;2021
Zirmão;405;;102;0;Cazumba;2021
Coletivo;57;;166;0;Cazumba;2021
Coletivo;55;;16;0;Cazumba;2021
Coletivo;54;;64;2;Cazumba;2021
Coletivo;51;;113;0;Cazumba;2021
Coletivo;46;;366;0;Cazumba;2021
Coletivo;44;;80;0;Cazumba;2021
Coletivo;43;;280;7;Cazumba;2021
Coletivo;40;;760;0;Cazumba;2021
Coletivo;110;;169;5;Cazumba;2021
Coletivo;109;;92;0;Cazumba;2021
Coletivo;117;;332;2;Cazumba;2021
Coletivo;137;;20;0;Cazumba;2021
Coletivo;141;;29;10;Cazumba;2021
Coletivo;139;;80;0;Cazumba;2021
Coletivo;149;;211;8;Cazumba;2021
Coletivo;157;;160;0;Cazumba;2021
Coletivo;165;;448;14;Cazumba;2021
Coletivo;174;;268;10;Cazumba;2021
Coletivo;7;;572;10;Cazumba;2021
Coletivo;9;;120;0;Cazumba;2021
Coletivo;11;;24;4;Cazumba;2021
Coletivo;19;;126;3;Cazumba;2021
Coletivo;17;;242;8;Cazumba;2021
Coletivo;21;;80;0;Cazumba;2021
Coletivo;26;;214;6;Cazumba;2021
Coletivo;81;;47;0;Cazumba;2021
Coletivo;85;;138;11;Cazumba;2021
Coletivo;92;;258;11;Cazumba;2021
Coletivo;89;;100;0;Cazumba;2021
Coletivo;118;;118;2;Cazumba;2021
Coletivo;119;;92;0;Cazumba;2021
Coletivo;120;;150;0;Cazumba;2021
Coletivo;175;;312;8;Cazumba;2021
Coletivo;186;;0;0;Cazumba;2021
Coletivo;182;;220;0;Cazumba;2021
Coletivo;180;;331;1;Cazumba;2021
Coletivo;192;;560;20;Cazumba;2021
Coletivo;198;;0;0;Cazumba;2021
Coletivo;199;;0;0;Cazumba;2021
Coletivo;211;;12;0;Cazumba;2021
Davi;317;;75;2;Cazumba;2021
Davi;312;;267;10;Cazumba;2021
Davi;315;;96;4;Cazumba;2021
Davi;308;;7;1;Cazumba;2021
Davi;361;;537;7;Cazumba;2021
Davi;359;;35;2;Cazumba;2021
Davi;360;;101;0;Cazumba;2021
Davi;354;;222;5;Cazumba;2021
Davi;339;;131;0;Cazumba;2021
Davi;290;;184;15;Cazumba;2021
Davi;297;;10;3;Cazumba;2021
Davi;327;;457;3;Cazumba;2021
Davi;325;;29;3;Cazumba;2021
Davi;322;;87;4;Cazumba;2021
Davi;320;;134;7;Cazumba;2021
Davi;304;;;;Cazumba;2021
Davi;326;;350;10;Cazumba;2021
Davi;300;;186;6;Cazumba;2021
Mariazinha;230;;22;0;Cazumba;2021
Mariazinha;227;;185;1;Cazumba;2021
Mariazinha;217;;323;3;Cazumba;2021
Mariazinha;222;;106;2;Cazumba;2021
Mariazinha;245;;337;2;Cazumba;2021
Mariazinha;233;;98;3;Cazumba;2021
Mariazinha;241;;38;2;Cazumba;2021
Mariazinha;253;;98;0;Cazumba;2021
Mariazinha;273;;41;0;Cazumba;2021
Mariazinha;280;;231;7;Cazumba;2021
Mariazinha;265;;178;1;Cazumba;2021
Mariazinha;256;;45;2;Cazumba;2021
Mariazinha;251;;175;5;Cazumba;2021
Mariazinha;246;;731;0;Cazumba;2021
Zequinha;616;;0;0;Cazumba;2021
Zequinha;621;;185;0;Cazumba;2021
Zequinha;626;;85;0;Cazumba;2021
Zequinha;627;;70;0;Cazumba;2021
Zequinha;641;;311;0;Cazumba;2021
Zequinha;673;;163;0;Cazumba;2021
Zequinha;683;;220;0;Cazumba;2021
Zequinha;687;;360;0;Cazumba;2021
Zequinha;691;;90;0;Cazumba;2021
Zequinha;714;;0;0;Cazumba;2021
Zequinha;717;;64;0;Cazumba;2021
Zequinha;723;;85;0;Cazumba;2021
Zequinha;727;;229;0;Cazumba;2021
Zequinha;729;;68;0;Cazumba;2021
Zequinha;731;;551;0;Cazumba;2021
Zequinha;733;;161;0;Cazumba;2021
Zequinha;735;;230;0;Cazumba;2021
Zequinha;738;;240;0;Cazumba;2021
Zequinha;740;;321;0;Cazumba;2021
Zequinha;741;;338;0;Cazumba;2021
Zequinha;748;;261;0;Cazumba;2021
Zequinha;751;;320;0;Cazumba;2021
Zequinha;753;;450;0;Cazumba;2021
Zequinha;763;;148;0;Cazumba;2021
Zequinha;764;;128;0;Cazumba;2021
Zirmão 2;767;;0;0;Cazumba;2021
Zirmão 2;771;;86;11;Cazumba;2021
Zirmão 2;778;;12;0;Cazumba;2021
Zirmão 2;782;;660;7;Cazumba;2021
Zirmão 2;783;;304;2;Cazumba;2021
Zirmão 2;787;;32;0;Cazumba;2021
Zirmão 2;795;;134;2;Cazumba;2021
Zirmão 2;797;;203;2;Cazumba;2021
Zirmão 2;798;;325;2;Cazumba;2021
Zirmão 2;799;;321;5;Cazumba;2021
Zirmão 2;807;;297;8;Cazumba;2021
Zirmão 2;817;;258;0;Cazumba;2021
Zirmão 2;827;;76;0;Cazumba;2021
Zirmão 2;828;;313;1;Cazumba;2021
Zirmão 2;841;;167;2;Cazumba;2021
Zirmão 2;843;;110;0;Cazumba;2021
Zirmão 2;859;;136;2;Cazumba;2021
Zirmão 2;860;;12;0;Cazumba;2021
Zirmão 2;867;;44;2;Cazumba;2021
Zirmão 2;872;;175;2;Cazumba;2021
Zirmão 2;876;;375;5;Cazumba;2021
Zirmão 2;882;;317;0;Cazumba;2021
Irmãos Gamas;568;;240;10;Cazumba;2021
Irmãos Gamas;569;;554;4;Cazumba;2021
Irmãos Gamas;571;;68;11;Cazumba;2021
Irmãos Gamas;573;;372;11;Cazumba;2021
Irmãos Gamas;575;;226;15;Cazumba;2021
Irmãos Gamas;581;;254;6;Cazumba;2021
Irmãos Gamas;582;;81;7;Cazumba;2021
Irmãos Gamas;587;;304;13;Cazumba;2021
Dimar;590;;212;5;Cazumba;2021
Dimar;595;;624;2;Cazumba;2021
Dimar;598;;356;6;Cazumba;2021
Marizan;600;;113;8;Cazumba;2021
Marizan;601;;415;20;Cazumba;2021
Marizan;603;;122;10;Cazumba;2021
Marizan;606;;180;10;Cazumba;2021
Marizan;609;;75;5;Cazumba;2021
